Uuid,Fully specified name:en,Short name:en,Data class,Data type,_version:1,_order:100
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAA,HEIGHT,HEIGHT(cm),Misc,Numeric,,
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAA,WEIGHT,WEIGHT(Kg),Misc,Numeric,,
